Field Number,CDS501 Name,Code Name,CDS Code,CDS Code Description,CRASH.SER_NO,DMV Crash Serial Number,CRASH.CRASH_MO_NO,Crash Date Month (MM),CRASH.CRASH_HR_NO,Crash Hour,CRASH.CRASH_CNTY_ID,County,CRASH.CITY_SECT_ID,City,CRASH.URB_AREA_CD,Urban Area,CRASH.FC_CD,Functional Classification,CRASH.NHS_FLG,NHS,CRASH.HWY_NO,Highway Number,CRASH.RDWY_NO,Roadway Number,CRASH.HWY_COMPNT_CD,Highway Component,CRASH.MLGE_TYPE_CD,Mileage Type,CRASH.HWY_CMPNT_CD,Connection Number ,CRASH.SPECL_JRSDCT_ID,Special Jurisdiction,CRASH.ISECT_SEQ_NO,Intersection Sequence Number,FROM_ISECT_DSTNC_QTY,Distance From Nearest Intersection,CRASH.CMPSS_DIR_CD,Direction from Intersection,CRASH.MP_NO,Milepoint,CRASH.POST_SPEED_LMT_VAL,Posted Speed,CRASH.RD_CHAR_CD,Road Character,CRASH.OFF_RDWY_FLG,Off Roadway,CRASH.ISECT_TYP_CD,Intersection Type,CRASH.ISECT_REL_FLG,Intersection Related,CRASH.RNDBT_FLG,Roundabout,CRASH.DRVY_REL_FLG,Driveway Related,CRASH.LN_QTY,Number of Lanes,CRASH.TURNG_LEG_QTY,Number of Turning Legs,CRASH.MEDN_TYP_CD,Median Type,CRASH.CRASH_TYP_CD,Crash Type,CRASH.COLLIS_TYP_CD,Collision Type,CRASH.CRASH.SVRTY_CD,Crash Severity,CRASH.WEATHR_COND_CD,Weather Condition,CRASH.RD_SURF_COND_CD,Road Surface Condition,CRASH.LGT_COND_CD,Light Condition,CRASH.TRAF_CNTL_DEVICE_CD,Traffic Control Device,CRASH.TRAF_CNTL_DEVICE_CD,Traffic Control Device Functional,CRASH.INVSTG_AGY_CD,Investigating Agency,CRASH_CAUSE_EVNT.CRASH_EVNT_,Crash Level Events,CRASH_CAUSE_EVNT.CRASH_CAUSE_,Crash Level Cause,CRASH.SCHL_ZONE_IND,School Zone,CRASH.WRK_ZONE_IND,Work Zone,VHCL.VHCL_CODED_SEQ_NO,Vehicle Number,VHCL.VHCL_OWNSHP_CD,Vehicle Ownership,VHCL.VHCL_USE_CD,Special Use,VHCL.VHCL_TYP_CD,Vehicle Type,VHCL.EMRGCY_VHCL_USE_FLG,Emergency Use,VHCL.TRLR_QTY,Number of Trailers,VHCL.MVMNT_CD,Vehicle Movement,VHCL.CMPSS_DIR_FROM_CD,Direction of Travel From,VHCL.CMPSS_DIR_TO_CD,Direction of Travel To ,VHCL.ACTN_CD,Vehicle Level Action,VHCL_CAUSE_EVNT.VHCL_CAUSE_,Vehicle Level Cause,VHCL_CAUSE_EVNT.VHCL_EVNT_,Vehicle Level Event,VHCL.VHCL_SPEED_FLG,Vehicle Speed Flag - a yes/no field entered at the vehicle level. This field indicates that this vehicle was driven in excess of the posted speed.,VCHL.VHCL_HIT_RUN_FLG,Vehicle Hit and Run - Vehicle Level Hit and Run is a yes/no field that indicates whether the operator fled the scene of the crash in this vehicle.,PARTIC.VHCL_ID,Participant Level Vehicle Number,PARTIC.PARTIC_TYP_CD,Participant Type,PARTIC.PARTIC_HIT_RUN_FLG,Participant Level Hit and Run,PARTIC.PUB_EMPL_FLG,Public Employee,PARTIC.SEX_CD,Sex,PARTIC.AGE_VAL,Age,PARTIC.DRVR_LIC_STAT_CD,Driver License Status,PARTIC.DRVR_RES_STAT_CD,Residence of Driver,PARTIC.INJ_SVRTY_CD,Injury Severity,PARTIC.SFTY_EQUIP_USE_CD,Participant Safety Equipment Use,PARTIC.AIRBAG_DEPLOY_IND,Airbag Deployment,PARTIC.MVMNT_CD,Non-Motorist Movement,PARTIC.CMPSS_DIR_FROM_CD,Non-Motorist Direction of Travel From,PARTIC.CMPSS_DIR_TO_CD,Non-Motorist Direction of Travel To,PARTIC.NON_MOTRST_LOC_CD,Non-Motorist Location,PARTIC_ACTN_CD,Participant Level Action,PARTIC_ERR.CRASH_ERR_CD,Error,PARTIC_CAUSE_ERR_EVNT.PARTIC_CAUSE_,Participant Level Cause,PARTIC_CAUSE_ERR_EVNT.PARTIC_EVNT_,Participant Level Event,PARTIC.BAC_VAL,Blood Alcohol Content (BAC) Test Results,PARTIC.ALCHL_USE_RPT_IND,Alcohol Use Reported,PARTIC.DRUG_USE_RPT_IND,Drug Use Reported,PARTIC.MJ_USE_RPT_IND,Marijuana Use Reported,JRSDCT_GRP.JRSDCT_GRP_CD,Jurisdiction Group,CRASH.ALCHL_INVLV_FLG,Alcohol Involved Flag,CRASH.DRUG_INVLV_FLG,Drug Involved Flag,CRASH.MJ_INVLV_FLG,Marijuana Involved Flag,CRASH.CRASH_SPEED_INVLV_FLG,Speed Involved Flag,Hit and Run Flag,PARTIC.PARTIC_HIT_RUN_FLG,CRASH.POP_RNG_CD,Population Range,CRASH.RD_CNTRL_CD,Road Control,CRASH.RTE_TYP_CD,Route Type,CRASH.RTE_ID,Route Number,CRASH.REG_ID,ODOT Region,CRASH.DIST_ID,ODOT District,CRASH.UNLOCT_FLG,Unlocatable Crash Flag,CRASH.IMPCT_LCT_CD-INTR_CR_CT,Location of Impact:Intersectional Crashes,CRASH.IMPCT_LCT_CD-NONINTR_CR_CT_ST,Location of Impact:Non-Intersectional Crashes on City Streets,CRASH.IMPCT_LCT_CD-NONINTR_CR_CO_RO,Location of Impact:Non-Intersectional Crashes on County Roads,CRASH.IMPCT_LCT_CD-NONINTR_ST_HWY,Location of Impact:Non-Intersectional Crashes on State Highways
39,Milepoint,MP_NO,CRASH.MP_NO,Milepoint,,,,,,,,,38,Condon,63,Redmond UA,,,,,041,Ochoco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,Unknown or not defined,,,,,40,Curb (Also narrow sidewalks or bridges) Bridge railing or parapet (On bridge or approach) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Bridge pillar or column (Even if struck protective guard rail first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Cutting in (two lanes - two way only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Posted Speed Limit,POST_SPEED_LMT_VAL,CRASH.POST_SPEED_LMT_VAL,Posted Speed,,,,,,,,,39,Coos Bay,65,Roseburg UA,,,,,042,Sherman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Bridge abutment (Approach ends) (Revised 2014) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Bridge girder (Horizontal bridge structure overhead) (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,"Driving on wrong side of the road (Used for two-way, undivided roadways) (Revised 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Road Character,RD_CHAR_CD,CRASH.RD_CHAR_CD,Road Character,,,,,,,,,40,Coquille,67,Salem-Keizer- UA,,,,,043,Monmouth-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Bridge pillar or column -- even if struck protective guardrail first ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Traffic raised island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Driving through safety zone or over island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Off Roadway Flag,OFF_RDWY_FLG,CRASH.OFF_RDWY_FLG,Off Roadway,,,,,,,,,41,Cornelius ,68,Sandy UA,,,,,044,Wapinitia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Bridge girder (horizontal bridge structure overhead) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,* Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,Failed to stop for school bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Intersection Type,ISECT_TYP_CD,CRASH.ISECT_TYP_CD,Intersection Type,,,,,,,,,42,Corvallis ,69,Seaside UA,,,,,045,Umpqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Traffic raised island ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Pole - type unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Failed to decrease speed for slower moving vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Intersection Related Flag,ISECT_REL_FLG,CRASH.ISECT_REL_FLG,Intersection Related,,,,,,,,,43,Cottage Grove ,70,Sheridan UA,,,,,046,Necanicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,Gore ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,Pole - power or telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,Following too closely (Per PAR or driver admission),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Roundabout Flag,RNDABT_FLG,CRASH.RNDBT_FLG,Roundabout,,,,,,,,,44,Cove,71,Silverton UA,,,,,047,Sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Pole - type unknown ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,Pole - Street light only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Straddling or driving on wrong lanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Driveway Related Flag,DRVWY_REL_FLG,CRASH.DRVY_REL_FLG,Driveway Related,,,,,,,,,45,Creswell,73,St. Helens UA,,,,,048,John Day-Burns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,Pole - power or telephone ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,Pole - Traffic signal and ped signal only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Improper change of traffic lanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Number of Lanes,LN_QTY,CRASH.LN_QTY,Number of Lanes,,,,,,,,,46,Cul,75,Stayton UA,,,,,049,Lakeview-Burns ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,Pole - street light only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,Pole - sign bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Wrong way on one-way roadway (Also when roadway has a solid or earth median and vehicle is traveling on wrong side),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Number of Turning Legs,TURNG_LEG_QTY,CRASH.TURNG_LEG_QTY,Number of Turning Legs,,,,,,,,,47,Dallas,77,Sutherlin UA,,,,,050,Klamath Falls-Malin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,Pole - traffic signal and/or ped signal only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Stop or yield sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Driving too fast for conditions (Not exceeding posted speed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Median Type,MEDN_TYP_CD,CRASH.MEDN_TYP_CD,Median Type,,,,,,,,,48,Dayton,79,Sweet Home UA,,,,,051,Wilsonville-Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,Pole - sign bridge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,"Other sign, including street signs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Opened door into adjacent traffic lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Impact Location,IMPCT_LOC_CD,CRASH.IMPCT_LCT_CD-,Location of Impact:,,,,,,,,,49,Dayville,80,Tillamook UA,,,,,052,Heppner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Stop or yield sign ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,Hydrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Impeding traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Crash Type,CRASH_TYP_CD,CRASH.CRASH_TYP_CD,Crash Type,,,,,,,,,50,Depoe Bay,81,The Dalles UA,,,,,053,Warm Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,"Other sign, including street signs ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,Delineator or marker (Reflector posts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Driving in excess of posted speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Collision Type,COLLIS_TYP_CD,CRASH.COLLIS_TYP_CD,Collision Type,,,,,,,,,51,Detroit,82,Veneta UA,,,,,054,Umatilla-Stanfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,Hydrant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,Mailbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,Reckless driving (Per PAR or self-reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Crash Severity,CRASH_SVRTY_CD,CRASH.SVRTY_CD,Crash Severity,,,,,,,,,52,Donald,84,Weiser UA (New 2016),,,,,058,Albany-Junction City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,Delineator or marker (Reflector posts) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,"Tree, stump or shrubs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Careless driving (Per PAR or self-reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Weather Condition,WTHR_COND_CD,CRASH.WEATHR_COND_CD,Weather Condition,,,,,,,,,53,Drain,85,Woodburn UA,,,,,060,Rogue River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,Mailbox ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,"Tree branch or other vegetation overhead, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,Speed Racing (Per PAR or self-reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Road Surface Condition,RD_SURF_COND_CD,CRASH.RD_SURF_COND_CD,Road Surface Condition,,,,,,,,,54,Dufur,,,,,,,061,Stadium Freeway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,"Tree, stump or shrubs ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,Wire or cable across or over the road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,Crossing at intersection - no traffic signal present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Light Condition,LGT_COND_CD,CRASH.LGT_COND_CD,Light Condition,,,,,,,,,55,Dundee,,,,,,,062,Florence-Eugene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,"Tree branch or other vegetation overhead, etc. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,"Temporary sign or barricade in road, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,Crossing at intersection - traffic signal present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Traffic Control Device (TCD),TRAF_CNTL_DEVICE_CD,CRASH.TRAF_CNTL_DEVICE_CD,Traffic Control Device,,,,,,,,,56,Dunes City,,,,,,,063,Rogue Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,Wire or cable across or over the road ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,Permanent sign or barricade in/off road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,Crossing at intersection - diagonally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,TCD Functional Flag,TRAF_CNTL_FUNC_FLG,CRASH.TRAF_CNTL_DEVICE_CD,Traffic Control Device Functional,,,,,,,,,57,Durham,,,,,,,064,East Portland Freeway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,"Temporary sign or barricade in road, etc. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,Foreign obstruction / debris in road (Not gravel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Crossing between intersections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Investigating Agency,INVSTG_AGY_CD,CRASH.INVSTG_AGY_CD,Investigating Agency,,,,,,,,,58,Eagle Point,,,,,,,066,La Grande-Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,Permanent sign or barricade in/off road ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,Equipment working in/off road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,"Walking, running, etc., on shoulder with traffic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Crash Level Event 1 Code,CRASH_EVNT_1_CD,CRASH_CAUSE_EVNT.CRASH_EVNT_,Crash Level Events,,,,,,,,,59,Echo,,,,,,,067,Pendleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,Foreign obstruction / debris in road (Not gravel) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,Other equipment in or off road (Including parked trailer boat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,"Walking, running, etc., on shoulder facing traffic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Crash Level Event 2 Code,CRASH_EVNT_2_CD,CRASH_CAUSE_EVNT.CRASH_EVNT_,Crash Level Events,,,,,,,,,60,Elgin,,,,,,,068,Cascade Highway North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,Equipment working in/off road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,"Wrecker, street sweeper, snow plow or sanding equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,"Walking, running, etc., on pavement with traffic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Crash Level Event 3 Code,CRASH_EVNT_3_CD,CRASH_CAUSE_EVNT.CRASH_EVNT_,Crash Level Events,,,,,,,,,61,Elkton,,,,,,,069,Belt Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,"Other equipment in or off road (Including parked trailer, boat)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,"Rock, brick or other solid wall (Effective 2004)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,"Walking, running, riding, etc., on pavement facing traffic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Crash Level Cause 1 Code,CRASH_CAUSE_1_CD,CRASH_CAUSE_EVNT.CRASH_CAUSE_,Crash Level Cause,,,,,,,,,62,Enterprise,,,,,,,070,McNary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,"Wrecker, street sweeper, snow plow or sanding equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,Other bump (not speed bump) pothole or pavement irregularity (Per PAR)(Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,Playing in street or road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Crash Level Cause 2 Code,CRASH_CAUSE_2_CD,CRASH_CAUSE_EVNT.CRASH_CAUSE_,Crash Level Cause,,,,,,,,,63,Estacada,,,,,,,071,Whitney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,"Rock, brick or other solid wall (Effective 2004)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,"Other overhead object (highway sign, signal head, etc.); not bridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,Pushing or working on vehicle in road or on shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Crash Level Cause 3 Code,CRASH_CAUSE_3_CD,CRASH_CAUSE_EVNT.CRASH_CAUSE_,Crash Level Cause,,,,,,,,,64,Eugene,,,,,,,072,Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,Other bump (not speed bump) pothole or pavement irregularity (Per PAR) (Revised 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,Bridge or road cave in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,Working in roadway or along shoulder (Not on vehicle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,School Zone Indicator,SCHL_ZONE_IND,CRASH.SCHL_ZONE_IND,School Zone,,,,,,,,,65,Fairview,,,,,,,075,Sunrise Expressway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,"Other overhead object (highway sign, signal head, etc.); not Bridge (Effective 2004)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,High water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,Standing or lying in roadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Work Zone Indicator,WRK_ZONE_IND,CRASH.WRK_ZONE_IND,Work Zone,,,,,,,,,66,Falls City,,,,,,,081,Pacific Highway East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,Bridge or road cave in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,Snow bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,Improper use of traffic lane by non-motorist (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Alcohol-Involved Flag,ALCHL_INVLV_FLG,CRASH.ALCHL_INVLV_FLG,Alcohol Involved Flag,,,,,,,,,67,Florence,,,,,,,091,Pacific Highway West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,High water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,Low or high shoulder at pavement edge (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,Eluding / Attempting to Elude (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Drugs Involved Flag,DRUG_INVLV_FLG,CRASH.DRUG_INVLV_FLG,Drug Involved Flag,,,,,,,,,68,Forest Grove,,,,,,,092,Lower Columbia River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,Snow bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,Cut slope or ditch embankment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,Failed to negotiate a curve (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Speed Involved Flag,CRASH_SPEED_INVLV_FLG,CRASH.CRASH_SPEED_INVLV_FLG,Speed Involved Flag,,,,,,,,,69,Fossil,,,,,,,100,Historic Columbia River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,Low or high shoulder at pavement edge (Revised 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,"Struck by rock or other object set in motion by other vehicle, including lost loads  (Do not use with code 081) (Effective 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,Failed to maintain lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Crash Level Hit & Run Flag,CRASH_HIT_RUN_FLG,PARTIC.PARTIC_HIT_RUN_FLG,Hit and Run Flag,,,,,,,,,70,Garibaldi,,,,,,,102,Nehalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,Cut slope or ditch embankment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,"Struck by rock or other moving, falling or flying object  (Do not use with code 080) (Effective 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,Ran off road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Population Range Code,POP_RNG_CD,CRASH.POP_RNG_CD,Population Range,,,,,,,,,71,Gaston,,,,,,,103,Fishhawk Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,Struck by rock or other object set in motion by other vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,Wind gust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,"Driver misjudged clearance (Used only for signs, structures, etc.; not for parked vehicle.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Road Control,RD_CNTL_CD,CRASH.RD_CNTRL_CD,Road Control,,,,,,,,,72,Gates,,,,,,,104,Fort Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,"Struck by rock or other moving, falling or flying object (Do not use with code 080) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,Vehicle immersed in body of water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,Over correcting / over-steering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Route Type,RTE_TYP_CD,CRASH.RTE_TYP_CD,Route Type,,,,,,,,,73,Gearhart,,,,,,,105,Warrenton-Astoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,Vehicle obscured view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,Fire or explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,Overloading or improper loading of vehicle with cargo or passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
