"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16"
"309",7,NA,7,NA,NA,NA,6,7,2,NA,NA,NA,NA,NA,5,NA
"310",7,NA,7,NA,NA,NA,NA,NA,3,4,NA,NA,NA,4,NA,3
"311",4,7,8,NA,3,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,8
"312",NA,NA,NA,NA,7,5,5,NA,4,NA,4,NA,NA,NA,6,NA
"313",NA,4,8,NA,7,NA,NA,NA,NA,NA,7,6,NA,NA,3,NA
"314",8,7,9,5,NA,NA,NA,NA,NA,NA,8,NA,2,NA,NA,NA
"315",NA,8,7,6,6,NA,NA,NA,8,NA,NA,7,NA,NA,NA,NA
"316",8,4,6,NA,NA,NA,NA,NA,NA,2,7,NA,3,NA,NA,NA
"317",NA,7,NA,8,NA,NA,NA,NA,NA,NA,6,8,6,NA,NA,8
"318",NA,NA,NA,NA,3,8,6,8,NA,NA,NA,NA,NA,3,4,NA
"319",NA,NA,NA,6,5,NA,NA,7,3,6,NA,NA,4,NA,NA,NA
"320",NA,NA,NA,NA,7,7,NA,8,NA,NA,6,NA,4,NA,NA,6
"321",NA,9,7,NA,NA,NA,3,NA,1,NA,1,7,NA,NA,NA,NA
"322",NA,9,NA,8,NA,NA,NA,NA,7,NA,4,8,9,NA,NA,NA
"323",7,9,NA,NA,NA,NA,7,NA,NA,NA,7,NA,9,NA,NA,9
"324",NA,NA,NA,4,8,8,8,NA,8,NA,NA,NA,6,NA,NA,NA
"325",8,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,7,NA,9,6
"326",NA,7,NA,NA,7,8,NA,8,NA,3,NA,NA,6,NA,NA,NA
"327",8,NA,NA,NA,NA,9,NA,NA,NA,NA,7,NA,NA,2,9,9
"328",NA,NA,8,NA,2,NA,NA,5,NA,NA,3,2,NA,NA,7,NA
"329",4,NA,NA,6,NA,NA,NA,NA,NA,NA,6,NA,7,8,NA,7
"330",3,NA,6,NA,NA,6,5,NA,4,NA,NA,NA,NA,4,NA,NA
"331",NA,7,8,NA,NA,NA,4,4,7,NA,NA,NA,NA,NA,7,NA
"332",8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,9,7
"333",6,7,NA,NA,6,8,NA,NA,NA,4,NA,NA,NA,NA,8,NA
"334",8,NA,NA,6,NA,NA,NA,8,9,7,NA,NA,NA,8,NA,NA
"335",6,2,9,NA,NA,NA,9,NA,NA,9,NA,NA,4,NA,NA,NA
"336",NA,NA,9,NA,6,NA,NA,7,NA,NA,8,6,NA,NA,9,NA
"337",NA,NA,NA,6,NA,9,7,NA,8,NA,7,NA,NA,4,NA,NA
"338",7,NA,NA,5,NA,7,NA,NA,NA,7,NA,NA,NA,7,5,NA
"339",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,3,8,7,3,6,NA
"340",NA,7,NA,NA,NA,NA,8,NA,NA,NA,7,9,NA,5,7,NA
"341",NA,NA,7,NA,NA,NA,7,3,4,NA,NA,NA,NA,NA,4,7
"342",NA,NA,8,NA,NA,NA,NA,NA,NA,4,NA,7,8,NA,5,6
"343",6,8,NA,6,NA,7,NA,NA,NA,NA,7,NA,9,NA,NA,NA
"344",NA,NA,7,NA,7,NA,7,7,NA,NA,NA,NA,NA,8,8,NA
"345",NA,2,NA,NA,NA,NA,NA,NA,NA,7,7,4,NA,3,NA,3
"346",NA,NA,NA,6,NA,7,NA,NA,7,NA,NA,3,NA,6,NA,7
"347",7,NA,NA,NA,NA,7,NA,NA,6,7,NA,NA,NA,6,NA,3
"348",NA,NA,4,NA,6,NA,6,9,2,NA,NA,NA,NA,NA,5,NA
"349",NA,NA,NA,8,NA,8,8,4,6,NA,NA,NA,NA,6,NA,NA
"350",NA,4,NA,8,NA,NA,NA,NA,NA,NA,4,7,6,NA,NA,7
"351",4,NA,5,NA,4,NA,3,7,NA,NA,NA,NA,NA,NA,7,NA
"352",NA,4,NA,NA,6,NA,NA,NA,NA,NA,7,8,3,NA,NA,9
"353",NA,7,NA,NA,NA,NA,NA,NA,7,5,NA,7,8,NA,NA,5
"354",NA,9,NA,6,NA,NA,NA,NA,NA,NA,2,8,NA,NA,7,6
"355",7,NA,NA,NA,NA,8,NA,NA,NA,7,NA,NA,NA,6,6,7
"356",NA,NA,NA,NA,8,NA,NA,7,NA,7,NA,6,NA,NA,8,7
"357",NA,3,8,NA,7,NA,NA,NA,NA,8,NA,7,NA,NA,7,NA
"358",8,NA,NA,NA,8,7,6,8,NA,NA,7,NA,NA,NA,NA,NA
"359",NA,7,7,3,NA,NA,NA,NA,NA,NA,6,4,NA,2,NA,NA
"360",NA,8,NA,5,8,NA,NA,NA,NA,NA,2,7,4,NA,NA,NA
"361",2,8,NA,7,8,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA
"362",3,NA,8,NA,NA,NA,NA,7,5,NA,NA,NA,NA,8,NA,4
"363",NA,NA,NA,NA,NA,NA,NA,8,4,7,NA,8,5,NA,NA,8
"364",NA,NA,NA,NA,3,8,NA,NA,NA,NA,NA,8,1,NA,3,7
"365",NA,7,NA,6,NA,NA,NA,NA,4,7,NA,7,4,NA,NA,NA
"366",NA,4,8,7,NA,NA,NA,4,NA,8,NA,NA,NA,6,NA,NA
"367",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,3,5,8,NA,7,4
"368",7,7,NA,8,NA,9,NA,NA,NA,NA,4,NA,6,NA,NA,NA
"369",NA,NA,8,NA,8,NA,3,5,NA,3,NA,NA,6,NA,NA,NA
"370",2,NA,NA,NA,7,3,NA,NA,6,4,NA,NA,8,NA,NA,NA
"371",4,8,NA,5,NA,NA,NA,7,NA,NA,6,NA,NA,NA,7,NA
"372",NA,NA,NA,NA,4,6,3,7,NA,NA,8,NA,NA,4,NA,NA
"373",NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,5,7,7,NA,4
"374",4,NA,7,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,5,5,2
"375",6,6,NA,NA,8,7,NA,7,NA,NA,7,NA,NA,NA,NA,NA
"376",6,NA,9,NA,NA,NA,6,NA,NA,8,NA,NA,NA,4,8,NA
"377",NA,NA,NA,6,5,8,NA,NA,3,4,NA,NA,NA,NA,8,NA
"378",7,NA,8,NA,NA,NA,6,NA,8,NA,NA,7,NA,NA,8,NA
"379",7,NA,8,NA,7,NA,NA,NA,NA,NA,6,NA,NA,7,NA,7
"380",6,NA,4,2,8,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA
"381",8,4,6,NA,NA,NA,NA,NA,NA,2,3,7,NA,NA,NA,NA
"382",6,7,6,NA,NA,NA,4,8,7,NA,NA,NA,NA,NA,NA,NA
"383",NA,4,NA,NA,NA,7,7,NA,NA,NA,4,7,4,NA,NA,NA
"384",NA,9,NA,NA,NA,8,NA,NA,8,5,NA,NA,9,NA,NA,5
"385",NA,9,9,NA,7,NA,7,8,NA,NA,4,NA,NA,NA,NA,NA
"386",NA,NA,NA,NA,NA,NA,7,NA,NA,8,8,8,6,NA,4,NA
"387",NA,9,3,NA,8,NA,NA,NA,NA,5,NA,4,6,NA,NA,NA
"388",9,NA,NA,NA,5,NA,NA,5,NA,8,2,NA,9,NA,NA,NA
"389",NA,7,NA,NA,7,NA,NA,NA,NA,NA,6,8,3,NA,NA,9
"390",NA,NA,NA,5,3,4,NA,NA,NA,2,NA,NA,NA,1,7,NA
"391",5,NA,NA,NA,NA,7,NA,NA,NA,7,8,NA,NA,9,8,NA
"392",NA,9,NA,7,NA,9,6,NA,6,NA,NA,NA,8,NA,NA,NA
"393",NA,NA,4,6,NA,NA,7,8,6,NA,NA,NA,NA,6,NA,NA
"394",NA,NA,NA,8,NA,8,6,9,6,NA,NA,NA,NA,7,NA,NA
"395",NA,NA,NA,NA,6,NA,3,8,NA,2,NA,5,2,NA,NA,NA
"396",NA,NA,NA,6,NA,8,NA,NA,2,6,4,NA,4,NA,NA,NA
"397",7,NA,6,NA,NA,7,NA,7,4,NA,NA,NA,NA,NA,NA,7
"398",7,NA,NA,8,NA,6,NA,NA,NA,8,NA,NA,NA,4,6,NA
"399",NA,7,NA,NA,7,NA,NA,NA,NA,4,NA,4,8,NA,NA,7
"400",NA,8,NA,8,NA,8,NA,NA,6,7,NA,NA,7,NA,NA,NA
"401",NA,NA,NA,5,8,8,NA,NA,NA,NA,NA,NA,NA,7,7,5
"402",NA,NA,NA,NA,6,5,8,5,NA,NA,NA,8,NA,NA,7,NA
"403",NA,NA,3,NA,3,NA,7,NA,NA,NA,NA,2,NA,NA,4,7
"404",NA,NA,NA,7,NA,8,4,8,6,NA,NA,NA,NA,3,NA,NA
"405",NA,NA,NA,NA,NA,8,6,NA,6,NA,NA,NA,7,7,NA,3
"406",8,NA,NA,NA,NA,9,NA,NA,NA,9,NA,NA,NA,8,4,8
"407",7,6,8,6,NA,NA,NA,NA,NA,6,NA,NA,NA,4,NA,NA
"408",8,2,NA,NA,NA,NA,8,8,NA,NA,7,NA,2,NA,NA,NA
"409",NA,7,NA,NA,NA,9,NA,NA,3,7,NA,8,3,NA,NA,NA
"410",NA,7,NA,8,NA,NA,6,NA,NA,NA,8,9,4,NA,NA,NA
"411",NA,8,NA,6,8,7,NA,NA,NA,NA,6,NA,NA,NA,7,NA
"412",NA,7,8,NA,5,NA,NA,7,NA,NA,NA,8,NA,NA,NA,7
"413",NA,NA,8,7,NA,NA,NA,8,6,NA,4,NA,NA,6,NA,NA
"414",7,NA,8,3,NA,NA,NA,4,NA,NA,6,NA,7,NA,NA,NA
"415",2,NA,8,9,NA,NA,NA,NA,NA,NA,7,NA,NA,1,7,NA
"416",NA,8,NA,5,NA,6,NA,NA,NA,NA,3,NA,NA,NA,7,5
"417",NA,NA,6,NA,2,NA,NA,6,1,NA,NA,7,NA,NA,NA,4
"418",8,7,7,5,NA,NA,NA,2,NA,NA,NA,NA,NA,7,NA,NA
"419",2,NA,8,5,4,NA,NA,NA,NA,4,NA,NA,NA,NA,8,NA
"420",6,8,8,4,NA,NA,NA,1,NA,NA,NA,NA,NA,7,NA,NA
"421",8,4,8,NA,NA,NA,4,NA,NA,NA,8,7,NA,NA,NA,NA
"422",NA,NA,NA,8,NA,9,NA,9,7,7,NA,NA,NA,NA,4,NA
"423",6,NA,8,NA,NA,8,NA,NA,7,NA,NA,NA,NA,9,NA,4
"424",8,NA,7,NA,NA,NA,8,4,6,NA,NA,NA,NA,NA,NA,8
"425",NA,NA,NA,NA,8,6,6,NA,NA,4,NA,NA,9,NA,9,NA
"426",7,NA,9,NA,NA,NA,3,NA,1,NA,NA,NA,NA,7,NA,8
"427",NA,7,NA,NA,NA,8,2,NA,NA,NA,2,NA,NA,NA,8,6
"428",NA,NA,8,6,NA,7,NA,NA,NA,NA,6,NA,NA,7,8,NA
"429",NA,8,2,4,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,6,3
"430",NA,1,NA,NA,NA,NA,NA,NA,NA,6,2,6,4,NA,NA,5
"431",4,6,NA,NA,NA,NA,NA,NA,NA,8,8,6,3,NA,NA,NA
"432",NA,8,NA,6,NA,7,NA,NA,2,NA,NA,3,NA,NA,NA,7
"433",NA,NA,6,NA,NA,NA,6,8,9,NA,NA,NA,NA,2,NA,6
"434",NA,NA,NA,4,NA,8,NA,NA,6,NA,NA,4,7,NA,NA,6
"435",NA,NA,NA,4,NA,8,NA,2,NA,NA,3,NA,NA,4,9,NA
"436",NA,NA,3,NA,4,NA,4,4,NA,NA,NA,3,NA,NA,2,NA
"437",7,8,NA,NA,NA,NA,6,8,NA,6,NA,NA,6,NA,NA,NA
"438",3,NA,6,NA,NA,NA,NA,7,NA,3,NA,NA,NA,2,7,NA
"439",NA,NA,7,NA,5,7,5,NA,NA,NA,NA,NA,7,NA,NA,6
"440",NA,NA,NA,NA,7,NA,NA,NA,NA,3,NA,3,NA,6,8,3
"441",NA,9,NA,3,NA,8,3,NA,NA,NA,NA,NA,NA,7,9,NA
"442",NA,8,NA,2,NA,NA,2,NA,7,NA,4,2,NA,NA,NA,NA
"443",NA,6,NA,6,7,NA,NA,NA,NA,8,NA,3,NA,NA,6,NA
"444",NA,NA,8,NA,NA,8,5,NA,4,NA,NA,NA,NA,NA,6,6
"445",NA,8,NA,NA,NA,NA,NA,8,NA,6,NA,6,NA,NA,7,7
"446",NA,9,NA,NA,NA,NA,5,7,7,6,NA,NA,8,NA,NA,NA
"447",3,NA,NA,6,NA,NA,NA,7,NA,NA,4,NA,3,2,NA,NA
"448",7,3,9,NA,8,9,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"449",NA,1,NA,7,NA,NA,NA,8,NA,8,4,NA,NA,2,NA,NA
"450",NA,9,NA,NA,NA,8,5,NA,NA,NA,NA,7,NA,7,8,NA
"451",NA,NA,NA,3,8,8,NA,NA,3,6,NA,NA,7,NA,NA,NA
"452",NA,NA,NA,3,NA,2,NA,NA,7,NA,NA,2,NA,8,6,NA
"453",NA,NA,NA,4,NA,8,NA,6,NA,NA,3,NA,4,4,NA,NA
"454",NA,NA,9,7,NA,NA,NA,8,4,6,NA,NA,NA,NA,8,NA
"455",NA,NA,NA,8,NA,NA,NA,9,6,8,8,NA,7,NA,NA,NA
"456",NA,NA,NA,6,8,7,NA,7,2,NA,NA,NA,NA,3,NA,NA
"457",NA,8,NA,NA,NA,NA,5,NA,NA,5,6,7,4,NA,NA,NA
"458",NA,8,NA,5,NA,NA,NA,NA,7,6,NA,5,NA,NA,NA,5
"459",NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,2,NA,7,8,4
"460",NA,NA,9,NA,6,9,8,8,5,NA,NA,NA,NA,NA,NA,NA
"461",NA,NA,8,NA,7,NA,NA,7,4,6,6,NA,NA,NA,NA,NA
"462",NA,NA,NA,9,6,6,NA,5,NA,NA,6,NA,3,NA,NA,NA
"463",6,6,8,NA,NA,NA,7,NA,5,NA,NA,NA,NA,NA,NA,6
"464",4,NA,NA,NA,8,NA,5,7,NA,NA,3,NA,2,NA,NA,NA
"465",NA,3,NA,6,NA,NA,NA,NA,NA,NA,8,6,3,NA,NA,7
"466",NA,NA,NA,6,2,NA,NA,7,3,NA,4,NA,NA,5,NA,NA
"467",NA,NA,NA,NA,8,8,7,8,NA,6,NA,NA,NA,4,NA,NA
"468",6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6,NA,4,4,6
"469",5,NA,NA,NA,8,9,NA,NA,NA,NA,7,NA,8,NA,NA,8
"470",NA,2,NA,NA,8,NA,NA,NA,NA,8,2,3,7,NA,NA,NA
"471",9,NA,9,7,NA,NA,NA,NA,NA,NA,8,NA,7,NA,9,NA
"472",2,NA,NA,8,NA,NA,NA,NA,4,8,7,NA,4,NA,NA,NA
"473",NA,NA,NA,NA,6,NA,6,NA,6,5,NA,4,3,NA,NA,NA
"474",4,3,9,NA,NA,NA,NA,NA,NA,9,NA,8,NA,NA,8,NA
"475",4,NA,7,6,NA,6,NA,NA,3,NA,NA,NA,NA,NA,7,NA
"476",NA,8,NA,7,NA,NA,NA,NA,NA,NA,3,2,5,NA,NA,8
"477",7,NA,6,NA,NA,4,5,NA,2,NA,NA,NA,NA,NA,7,NA
"478",NA,NA,NA,NA,4,NA,7,7,NA,8,NA,NA,6,NA,8,NA
"479",NA,2,NA,NA,NA,9,3,NA,6,NA,NA,NA,NA,6,NA,9
"480",6,NA,NA,3,NA,8,NA,NA,4,NA,NA,NA,NA,6,NA,8
"481",NA,NA,2,NA,NA,2,6,NA,7,NA,NA,NA,NA,7,2,NA
"482",3,9,NA,NA,NA,NA,7,8,NA,NA,4,NA,3,NA,NA,NA
"483",3,NA,NA,2,NA,NA,NA,4,NA,NA,4,NA,6,8,NA,NA
"484",NA,NA,NA,NA,4,NA,5,4,NA,4,4,NA,8,NA,NA,NA
"485",NA,NA,7,NA,NA,8,7,NA,4,NA,6,NA,NA,NA,4,NA
"486",NA,6,NA,NA,8,5,8,7,NA,NA,4,NA,NA,NA,NA,NA
"487",NA,NA,9,NA,9,NA,NA,NA,9,6,NA,7,NA,NA,NA,9
"488",NA,8,NA,6,NA,NA,NA,NA,4,NA,NA,4,7,NA,NA,4
"489",NA,7,NA,NA,6,8,NA,NA,2,9,NA,NA,NA,NA,NA,7
"490",8,NA,NA,NA,NA,NA,7,8,NA,NA,4,NA,6,NA,8,NA
"491",4,6,NA,NA,NA,7,NA,NA,NA,NA,4,NA,3,NA,NA,7
"492",2,NA,7,NA,NA,NA,8,NA,7,NA,NA,4,NA,NA,NA,8
"493",NA,7,NA,6,NA,8,NA,NA,6,NA,NA,NA,6,NA,NA,3
"494",NA,NA,NA,NA,7,9,7,9,7,NA,NA,7,NA,NA,NA,NA
"495",2,NA,NA,4,NA,6,4,NA,NA,NA,NA,NA,NA,1,8,NA
"496",NA,NA,NA,NA,5,7,NA,NA,4,NA,NA,5,4,NA,NA,6
"497",NA,8,NA,NA,7,NA,5,NA,NA,6,NA,5,6,NA,NA,NA
"498",NA,8,NA,NA,NA,8,NA,NA,NA,3,NA,NA,NA,3,9,9
"499",NA,NA,NA,NA,NA,7,NA,7,2,1,NA,NA,7,NA,NA,7
"500",2,NA,2,NA,9,8,NA,NA,NA,9,NA,NA,NA,NA,1,NA
"501",NA,NA,7,NA,8,NA,2,NA,NA,6,NA,5,7,NA,NA,NA
"502",NA,NA,7,NA,7,8,8,NA,6,NA,NA,NA,NA,NA,7,NA
"503",6,9,8,6,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"504",NA,NA,NA,NA,7,NA,NA,NA,6,2,NA,5,4,NA,NA,6
"505",6,NA,NA,NA,7,NA,4,NA,NA,4,NA,NA,8,7,NA,NA
"506",8,NA,7,NA,NA,NA,NA,9,8,9,NA,NA,NA,NA,4,NA
"507",2,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,4,6,3
"508",NA,NA,9,NA,NA,8,4,9,7,NA,NA,NA,NA,7,NA,NA
"509",NA,8,NA,NA,6,NA,6,NA,NA,NA,7,8,NA,NA,NA,4
"510",9,4,8,8,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,4,NA
"511",NA,NA,8,4,NA,NA,7,6,4,NA,NA,NA,3,NA,NA,NA
"512",5,NA,7,NA,NA,8,3,NA,NA,NA,6,NA,7,NA,NA,NA
"513",NA,NA,NA,6,NA,NA,7,8,NA,NA,6,NA,4,3,NA,NA
"514",5,NA,4,2,7,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA
"515",6,6,7,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,7,6
"516",8,NA,NA,NA,NA,8,NA,NA,NA,6,7,NA,NA,9,9,NA
"517",NA,8,NA,NA,7,NA,NA,NA,NA,NA,9,9,NA,NA,7,8
"518",6,NA,8,NA,8,NA,8,NA,6,NA,NA,NA,NA,NA,NA,7
"519",NA,NA,NA,NA,NA,5,2,4,NA,NA,6,NA,8,NA,7,NA
"520",8,NA,NA,NA,NA,NA,NA,9,NA,NA,9,NA,8,9,NA,7
"521",NA,NA,NA,NA,8,7,NA,NA,4,8,9,NA,NA,NA,7,NA
"522",NA,NA,NA,8,NA,NA,NA,7,NA,7,3,NA,2,4,NA,NA
"523",7,8,NA,6,NA,8,NA,NA,NA,NA,NA,NA,NA,6,NA,7
"524",NA,NA,4,NA,NA,NA,NA,NA,7,3,NA,8,9,NA,NA,5
"525",7,8,NA,NA,NA,NA,6,NA,NA,NA,3,NA,NA,NA,7,7
"526",3,NA,1,2,2,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA
"527",NA,NA,NA,NA,7,8,NA,7,NA,6,NA,NA,NA,7,NA,5
"528",NA,9,NA,3,NA,7,3,NA,NA,NA,NA,NA,NA,8,9,NA
"529",2,NA,3,7,NA,8,NA,NA,6,NA,NA,NA,NA,NA,7,NA
"530",NA,7,NA,4,NA,NA,NA,8,NA,7,2,NA,3,NA,NA,NA
"531",NA,5,NA,7,NA,NA,NA,NA,NA,NA,4,6,5,NA,NA,9
"532",NA,NA,NA,7,7,NA,NA,NA,NA,6,NA,4,NA,8,4,NA
"533",NA,9,NA,NA,NA,8,6,7,NA,NA,NA,NA,NA,NA,8,4
"534",NA,9,8,6,NA,NA,7,8,7,NA,NA,NA,NA,NA,NA,NA
"535",NA,7,NA,NA,2,NA,NA,NA,NA,NA,8,1,2,NA,NA,7
"536",NA,3,NA,NA,6,6,2,NA,NA,NA,7,NA,8,NA,NA,NA
"537",NA,NA,NA,NA,4,NA,7,6,NA,NA,3,6,6,NA,NA,NA
"538",6,NA,8,NA,5,NA,7,9,3,NA,NA,NA,NA,NA,NA,NA
"539",NA,NA,8,NA,8,NA,6,7,5,NA,NA,NA,NA,NA,7,NA
"540",NA,7,8,7,NA,NA,NA,9,NA,NA,NA,7,NA,NA,9,NA
"541",NA,NA,NA,NA,NA,8,6,8,1,NA,2,NA,NA,2,NA,NA
"542",5,9,NA,NA,NA,7,NA,NA,NA,NA,2,NA,NA,4,NA,7
"543",8,NA,NA,NA,NA,NA,4,8,NA,7,NA,NA,5,6,NA,NA
"544",NA,7,NA,NA,NA,NA,3,NA,NA,NA,NA,6,6,NA,6,4
"545",NA,NA,7,7,NA,8,NA,NA,NA,NA,NA,NA,NA,7,8,6
"546",NA,5,NA,NA,NA,8,9,4,NA,NA,NA,NA,NA,7,7,NA
"547",NA,NA,7,8,NA,NA,NA,9,NA,NA,NA,7,NA,8,9,NA
"548",6,NA,7,NA,6,NA,4,3,7,NA,NA,NA,NA,NA,NA,NA
"549",6,9,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,NA,NA,1
"550",NA,NA,8,4,NA,NA,NA,7,3,4,NA,NA,NA,7,NA,NA
"551",NA,NA,6,7,NA,NA,NA,NA,NA,4,NA,6,NA,5,7,NA
"552",7,NA,NA,NA,NA,NA,6,8,NA,NA,7,NA,9,9,NA,NA
"553",4,NA,9,NA,8,NA,6,8,NA,NA,NA,2,NA,NA,NA,NA
"554",NA,NA,6,7,NA,NA,NA,8,7,NA,NA,6,NA,6,NA,NA
"555",NA,3,NA,NA,2,7,NA,NA,NA,8,NA,4,4,NA,NA,NA
"556",NA,NA,NA,NA,7,8,5,7,NA,7,NA,NA,NA,NA,7,NA
"557",NA,NA,NA,NA,2,8,5,7,2,NA,NA,NA,3,NA,NA,NA
"558",NA,NA,4,NA,8,2,4,NA,NA,NA,1,NA,7,NA,NA,NA
"559",NA,NA,7,NA,9,NA,8,8,7,NA,NA,6,NA,NA,NA,NA
"560",8,7,NA,8,NA,9,NA,NA,4,NA,NA,NA,NA,NA,NA,7
"561",2,NA,9,6,NA,NA,NA,7,2,NA,NA,NA,NA,1,NA,NA
"562",4,NA,7,4,NA,NA,NA,8,NA,NA,7,NA,4,NA,NA,NA
"563",6,8,7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7,4
"564",NA,3,NA,6,NA,8,NA,NA,NA,NA,3,NA,NA,NA,6,4
"565",6,NA,6,NA,7,NA,8,NA,3,NA,6,NA,NA,NA,NA,NA
"566",NA,4,NA,NA,4,9,9,4,NA,NA,NA,NA,2,NA,NA,NA
"567",NA,NA,8,NA,NA,NA,6,7,NA,7,NA,NA,8,NA,7,NA
"568",NA,NA,8,3,NA,NA,NA,NA,3,NA,NA,2,NA,6,NA,6
"569",3,NA,8,NA,NA,NA,NA,6,NA,8,NA,NA,4,NA,NA,8
"570",NA,NA,NA,8,NA,8,NA,NA,6,NA,NA,NA,7,3,NA,8
